synonyms,species,dataset
Dendrogapus_obscurus,Dendragapus_obscurus,itis1
Dendrogapus_canadensis,Falcipennis_canadensis,itis1
Dendragapus_falcipennis,Falcipennis_falcipennis,itis1
Canachites_canadensis,Falcipennis_canadensis,itis1
Bonasa_bonasia,Tetrastes_bonasia,itis1
Bonasa_sewerzowi,Tetrastes_sewerzowi,itis1
Lagopus_mutus,Lagopus_muta,itis1
Lagopus_leucurus,Lagopus_leucura,itis1
Pedioecetes_phasianellus,Tympanuchus_phasianellus,itis1
Dendragapus_canadensis,Falcipennis_canadensis,itis1
Lophortyx_californica,Callipepla_californica,itis1
Lophortyx_gambelii,Callipepla_gambelii,itis1
Lophortyx_douglasii,Callipepla_douglasii,itis1
Perdix_dauuricae,Perdix_dauurica,itis1
Perdix_hodgson,Perdix_hodgsoniae,itis1
Dendrortyx_macrora,Dendrortyx_macroura,itis1
Tetraogallus_caucasius,Tetraogallus_caucasicus,itis1
Francolinus_pindateanus,Francolinus_pintadeanus,itis1
Margaroperdix_madagascariensis,Margaroperdix_madagarensis,itis1
Melanoperdix_nigra,Melanoperdix_niger,itis1
Coturnix_corturnix,Coturnix_coturnix,itis1
Coturnix_novaezealandiae,Coturnix_novaezelandiae,itis1
Synoicus_ypsilophorus,Coturnix_ypsilophora,itis1
Arborophila_charltoni,Arborophila_charltonii,itis1
Caloperdix_oculea,Caloperdix_oculeus,itis1
Rollulus_roulroul,Rollulus_rouloul,itis1
Bambusicola_thoracica,Bambusicola_thoracicus,itis1
Ithaginus_cruentus,Ithaginis_cruentus,itis1
Lophophorus_ihuysii,Lophophorus_lhuysii,itis1
Lophura_leucomelana,Lophura_leucomelanos,itis1
Lophura_swinhoei,Lophura_swinhoii,itis1
Gallus_lafayettii,Gallus_lafayetii,itis1
Syrmaticus_reevesi,Syrmaticus_reevesii,itis1
Polyplectron_emphanum,Polyplectron_napoleonis,itis1
Polyplectron_chalcurus,Polyplectron_chalcurum,itis1
Afropava_congensis,Afropavo_congensis,itis1
Oreotyx_pictus,Oreortyx_pictus,itis1
Agriocharis_ocellata,Meleagris_ocellata,itis1
Turnix_castanota,Turnix_castanotus,itis1
Turnix_hottentotta,Turnix_hottentottus,itis1
Turnix_maculosa,Turnix_maculosus,itis1
Turnix_ocellata,Turnix_ocellatus,itis1
Turnix_sylvatica,Turnix_sylvaticus,itis1
Turnix_varia,Turnix_varius,itis1
Ortyxelox_meiffrenii,Ortyxelos_meiffrenii,itis1
Grus_carunculatus,Bugeranus_carunculatus,itis1
Anthropoides_paradisea,Anthropoides_paradiseus,itis1
Rallus_maculatus,Pardirallus_maculatus,itis1
Rallus_nigricans,Pardirallus_nigricans,itis1
Rallus_owstoni,Gallirallus_owstoni,itis1
Rallus_pectoralis,Lewinia_pectoralis,itis1
Rallus_philippensis,Gallirallus_philippensis,itis1
Rallus_rougetii,Rougetius_rougetii,itis1
Rallus_sanguinolentus,Pardirallus_sanguinolentus,itis1
Rallus_striatus,Gallirallus_striatus,itis1
Rallus_torquatus,Gallirallus_torquatus,itis1
Rallus_wakensis,Gallirallus_wakensis,itis1
Porzana_exquisita,Coturnicops_exquisitus,itis1
Porzana_marginalis,Aenigmatolimnas_marginalis,itis1
Laterallus_fasciatus,Anurolimnas_fasciatus,itis1
Laterallus_viridis,Anurolimnas_viridis,itis1
Porphyrula_martinica,Porphyrio_martinica,itis1
Porphyrula_alleni,Porphyrio_alleni,itis1
Porphyrula_flavirostris,Porphyrio_flavirostris,itis1
Tricholimnas_sylvestris,Gallirallus_sylvestris,itis1
Rallicula_leucospila,Rallina_leucospila,itis1
Rallicula_forbesi,Rallina_forbesi,itis1
Rallicula_mayri,Rallina_mayri,itis1
Rallicula_rubra,Rallina_rubra,itis1
Edithornis_silvestris,Gallinula_silvestris,itis1
Habropteryx_insignis,Gallirallus_insignis,itis1
Limnocorax_flavirostra,Amaurornis_flavirostra,itis1
Nesophylax_ater,Porzana_atra,itis1
