"synonyms","species"
"Larus_minutus","Hydrocoloeus_minutus"
"Larus_audouinii","Ichthyaetus_audouinii"
"Larus_brevirostris","Rissa_brevirostris"
"Larus_brunnicephalus","Chroicocephalus_brunnicephalus"
"Larus_bulleri","Chroicocephalus_bulleri"
"Larus_cirrocephalus","Chroicocephalus_cirrocephalus"
"Larus_eburnea","Pagophila_eburnea"
"Larus_fuliginosus","Leucophaeus_fuliginosus"
"Larus_genei","Chroicocephalus_genei"
"Larus_hemprichii","Ichthyaetus_hemprichii"
"Larus_ichthyaetus","Ichthyaetus_ichthyaetus"
"Larus_leucophthalmus","Ichthyaetus_leucophthalmus"
"Larus_maculipennis","Chroicocephalus_maculipennis"
"Larus_melanocephalus","Ichthyaetus_melanocephalus"
"Larus_modestus","Leucophaeus_modestus"
"Larus_novaehollandiae","Chroicocephalus_novaehollandiae"
"Larus_relictus","Ichthyaetus_relictus"
"Larus_rosea","Rhodostethia_rosea"
"Larus_sabini","Xema_sabini"
"Larus_saundersi","Chroicocephalus_saundersi"
"Larus_scoresbii","Leucophaeus_scoresbii"
"Larus_serranus","Chroicocephalus_serranus"
"Larus_tridactyla","Rissa_tridactyla"
"Sterna_aleutica","Onychoprion_aleuticus"
"Sterna_fuscata","Onychoprion_fuscatus"
"Sterna_anaethetus","Onychoprion_anaethetus"
"Sterna_albifrons","Sternula_albifrons"
"Sterna_balaenarum","Sternula_balaenarum"
"Sterna_bengalensis","Thalasseus_bengalensis"
"Sterna_bergii","Thalasseus_bergii"
"Sterna_lorata","Sternula_lorata"
"Sterna_lunata","Onychoprion_lunatus"
"Sterna_nereis","Sternula_nereis"
"Sterna_saundersi","Sternula_saundersi"
"Sterna_superciliaris","Sternula_superciliaris"
"Sterna_zimmermanni","Thalasseus_bernsteini"
"Sterna_maxima","Thalasseus_maximus"
"Sterna_antillarum","Sternula_antillarum"
"Sterna_caspia","Hydroprogne_caspia"
"Sterna_elegans","Thalasseus_elegans"
"Sterna_nilotica","Gelochelidon_nilotica"
"Sterna_sandvicensis","Thalasseus_sandvicensis"
"Thalasseus_maxima","Thalasseus_maximus"
"Chilidonias_niger","Chlidonias_niger"
"Chilidonias_leucopterus","Chlidonias_leucopterus"
"Procelsterna_caerulea","Procelsterna_cerulea"
"Gabianus_scoresbyi","Leucophaeus_scoresbii"
"Rynchops_nigra","Rynchops_niger"
"Penguinus_impennis","Pinguinus_impennis"
"Brachyramphus_hypoleuca","Synthliboramphus_hypoleucus"
"Endomychura_craveri","Synthliboramphus_craveri"
"Endomychura_hypoleucus","Synthliboramphus_hypoleucus"
"Cyclorrhynchus_psittacula","Aethia_psittacula"
"Lunda_cirrhata","Fratercula_cirrhata"
"Brachyrampus_brevirostris","Brachyramphus_brevirostris"
"Brachyrampus_marmoratus","Brachyramphus_marmoratus"
"Columba_leucocephala","Patagioenas_leucocephala"
"Columba_squamosa","Patagioenas_squamosa"
"Columba_fasciata","Patagioenas_fasciata"
"Columba_flavirostris","Patagioenas_flavirostris"
"Columba_araucana","Patagioenas_araucana"
"Columba_arguatrix","Columba_arquatrix"
"Columba_caribaea","Patagioenas_caribaea"
"Columba_cayennensis","Patagioenas_cayennensis"
"Columba_chiriquensis","Patagioenas_nigrirostris"
"Columba_corensis","Patagioenas_corensis"
"Columba_elphinstoni","Columba_elphinstonii"
"Columba_goodsoni","Patagioenas_goodsoni"
"Columba_hodgsoni","Columba_hodgsonii"
"Columba_inornata","Patagioenas_inornata"
"Columba_maculosa","Patagioenas_maculosa"
"Columba_mayeri","Streptopelia_mayeri"
"Columba_nigrirostris","Patagioenas_nigrirostris"
"Columba_oenops","Patagioenas_oenops"
"Columba_olivae","Columba_oliviae"
"Columba_picazuro","Patagioenas_picazuro"
"Columba_plumbea","Patagioenas_plumbea"
"Columba_polleni","Columba_pollenii"
"Columba_speciosa","Patagioenas_speciosa"
"Columba_subvinacea","Patagioenas_subvinacea"
"Columba_torringtoni","Columba_torringtonii"
"Scardafella_inca","Columbina_inca"
"Aplopelia_larvata","Columba_larvata"
"Reinwardtoena_reinwardtsi","Reinwardtoena_reinwardtii"
"Petrophassa_plumifera","Geophaps_plumifera"
"Petrophassa_scripta","Geophaps_scripta"
"Petrophassa_smithii","Geophaps_smithii"
"Phapitreron_amethystina","Phapitreron_amethystinus"
"Treron_bicincta","Treron_bicinctus"
"Treron_griseicauda","Treron_griseicauda"
"Treron_oxyura","Treron_oxyurus"
"Treron_phoenicoptera","Treron_phoenicopterus"
"Treron_psittacea","Treron_psittaceus"
"Treron_sphenura","Treron_sphenurus"
"Ptilinopus_formosus","Ptilinopus_bernsteinii"
"Ptilinopus_hyogastra","Ptilinopus_hyogastrus"
"Ptilinopus_melanospila","Ptilinopus_melanospilus"
"Ptilinopus_naina","Ptilinopus_nainus"
"Chalcopsitta_scintillata","Chalcopsitta_sintillata"
"Eos_historio","Eos_histrio"
"Eos_reticulara","Eos_reticulata"
"Pseudeos_fusata","Pseudeos_fuscata"
"Trichoglossus_goldiei","Psitteuteles_goldiei"
"Trichoglossus_iris","Psitteuteles_iris"
"Trichoglossus_johnstoni","Trichoglossus_johnstoniae"
"Trichoglossus_orantus","Trichoglossus_ornatus"
"Trichoglossus_versicolor","Psitteuteles_versicolor"
"Lorius_chlorocerus","Lorius_chlorocercus"
"Lorius_domicellus","Lorius_domicella"
"Vini_kuklii","Vini_kuhlii"
"Vini_stephani","Vini_stepheni"
"Glossopsitta_amabilis","Charmosyna_aureicincta"
"Glossopsitta_diadema","Charmosyna_diadema"
